ID;ID anterior;Grupo;Endpoint;Método;Arquivo previsto;VADER;Severidade;Título;Descrição;Ação;Dados;Resultado esperado;Lacuna de contrato;Pendência;Nota;Comando;Veredicto;Observações da execução
AUTH-01;CRIT-41, CRIT-47.1;AUTH;/auth/login;POST;test/auth.login.test.js;V;Crítica;Login válido devolve token utilizável, sem exigir header de autenticação;Caminho feliz da autenticação. Sem ele nenhum outro caso da suíte consegue rodar, então é o primeiro a ser escrito e o helper de token depende dele.;Enviar POST /auth/login com as credenciais do seed e usar o token devolvido em uma chamada protegida qualquer.;usuario pamela, senha 1234, sem header Authorization;200 com token em string não vazia e expiraEm em ISO 8601 aproximadamente 1 hora à frente. O token deve ser aceito em GET /pedidos. Como a chamada não envia Authorization, este caso também comprova que o login permanece público.;LoginResponse não declara o tipo do token, então o cliente precisa saber por fora que é Bearer.;;;"npx mocha --grep ""AUTH-01""";Passou;Passou. Execução de 2026-08-11 no CI. A API respondeu 200 com token JWT não vazio e expiraEm em string. Ressalva de cobertura: o teste confere apenas que o token não está vazio e que o expiraEm é string. Ele não chama GET /pedidos com o token, então o caso ainda não prova que o token é utilizável, que é o que o título promete.
AUTH-02;CRIT-42.1, CRIT-42.2;AUTH;/auth/login;POST;test/auth.login.test.js;D;Alta;Campo obrigatório ausente no login;LoginInput declara usuario e senha como required, sem tamanho mínimo, máximo nem pattern. Verificar a validação antes de qualquer consulta ao banco.;Enviar o login omitindo usuario e depois omitindo senha.;"{ ""senha"": ""1234"" } | { ""usuario"": ""pamela"" }";400 com codigo VALIDACAO e detalhes apontando o campo que faltou, em cada uma das duas requisições.;usuario e senha não têm maxLength. Uma senha de vários megabytes seria processada.;;;"npx mocha --grep ""AUTH-02""";Passou;Execução de 2026-08-14: 1 execução, todas verdes.
AUTH-03;CRIT-42.3, CRIT-42.4;AUTH;/auth/login;POST;test/auth.login.test.js;D;Alta;Campo obrigatório vazio no login;LoginInput declara usuario e senha como required, sem tamanho mínimo, máximo nem pattern. Verificar a validação antes de qualquer consulta ao banco.;Enviar o login com usuario vazio e depois com senha vazia.;"{ ""usuario"": """", ""senha"": ""1234"" } | { ""usuario"": ""pamela"", ""senha"": """" }";400 com codigo VALIDACAO nas duas. Nunca 401, porque o problema é o formato e não a credencial.;usuario e senha não têm maxLength. Uma senha de vários megabytes seria processada.;;;"npx mocha --grep ""AUTH-03""";Passou;Execução de 2026-08-14: 1 execução, todas verdes.
AUTH-04;CRIT-42.5;AUTH;/auth/login;POST;test/auth.login.test.js;D;Alta;Login com usuario numérico devolve 400 VALIDACAO;LoginInput declara usuario e senha como required, sem tamanho mínimo, máximo nem pattern. Verificar a validação antes de qualquer consulta ao banco.;Enviar o login com usuario numérico.;"{ ""usuario"": 123, ""senha"": ""1234"" }";400 com codigo VALIDACAO. LoginInput declara usuario como string.;usuario e senha não têm maxLength. Uma senha de vários megabytes seria processada.;;;"npx mocha --grep ""AUTH-04""";Passou;Execução de 2026-08-14: 1 execução, todas verdes.
AUTH-05;CRIT-42.6;AUTH;/auth/login;POST;test/auth.login.test.js;D;Alta;Login com corpo vazio aponta usuario e senha como obrigatórios;LoginInput declara usuario e senha como required, sem tamanho mínimo, máximo nem pattern. Verificar a validação antes de qualquer consulta ao banco.;Enviar o login com corpo vazio.;{};400 com codigo VALIDACAO e detalhes citando os dois campos obrigatórios.;usuario e senha não têm maxLength. Uma senha de vários megabytes seria processada.;;;"npx mocha --grep ""AUTH-05""";Passou;Execução de 2026-08-14: 1 execução, todas verdes.
AUTH-06;CRIT-42.7;AUTH;/auth/login;POST;test/auth.login.test.js;D;Alta;Senha de 100 mil caracteres é processada por falta de maxLength;LoginInput declara usuario e senha como required, sem tamanho mínimo, máximo nem pattern. Verificar a validação antes de qualquer consulta ao banco.;Enviar o login com uma senha muito longa e medir o tempo de resposta.;senha com 100 mil caracteres;Definir e aplicar um maxLength. Processar a senha inteira é vetor de esgotamento de recurso.;usuario e senha não declaram maxLength no LoginInput.;;;"npx mocha --grep ""AUTH-06""";Passou;Execução de 2026-08-14: 1 execução, todas verdes.
AUTH-07;CRIT-43.1;AUTH;/auth/login;POST;test/auth.login.test.js;A;Crítica;Login de usuário inexistente devolve 401 CREDENCIAIS_INVALIDAS;O contrato documenta uma única mensagem para o 401. Se a resposta distinguir usuário inexistente de senha incorreta, um atacante descobre quais contas existem antes de tentar a senha.;Tentar o login com um usuário que não existe no banco e registrar corpo e tempo.;"{ ""usuario"": ""fulano"", ""senha"": ""1234"" }";401 com codigo CREDENCIAIS_INVALIDAS. Guardar corpo e tempo de resposta para comparar com a variação seguinte.;;;;"npx mocha --grep ""AUTH-07""";Passou;Execução de 2026-08-14: 1 execução, todas verdes.
AUTH-08;CRIT-43.2;AUTH;/auth/login;POST;test/auth.login.test.js;A;Crítica;Senha errada de usuário existente responde igual a usuário inexistente;O contrato documenta uma única mensagem para o 401. Se a resposta distinguir usuário inexistente de senha incorreta, um atacante descobre quais contas existem antes de tentar a senha.;Tentar o login com o usuário real e senha errada, e comparar com o resultado da variação anterior.;"{ ""usuario"": ""pamela"", ""senha"": ""errada"" }";401 com corpo byte a byte idêntico ao da variação anterior. Diferença de mensagem ou de tempo perceptível revela quais contas existem.;;;;"npx mocha --grep ""AUTH-08""";Passou;Execução de 2026-08-14: 1 execução, todas verdes.
AUTH-09;CRIT-46, PERF-07.2;AUTH;/auth/login;POST;test/auth.login.test.js;A;Crítica;Ausência de proteção contra tentativas repetidas no login;O login é o único endpoint público que aceita corpo, existe um único usuário conhecido e a senha tem quatro dígitos. Sem bloqueio ou atraso, a força bruta é trivial.;Executar a sequência manual e, em seguida, o cenário de carga em k6 sobre o mesmo endpoint.;30 tentativas sequenciais com senha inválida | 10 VUs em POST /auth/login por 3 minutos;Bloqueio temporário, atraso progressivo ou 429 com Retry-After. Uma sequência ilimitada de 401 confirma a exposição. Registrar também o custo por requisição observado sob carga.;429 não está documentado e não há política de bloqueio descrita no contrato. Sem limite de taxa declarado, o login também é vetor de esgotamento de recurso.;Pode bloquear o único usuário do ambiente. Executar com EXECUTAR_FORCA_BRUTA=true Depende do resultado de CRIT-46;;"npx mocha --grep ""AUTH-09""";;
AUTH-10;CRIT-48;AUTH;/auth/login;POST;test/auth.login.test.js;R;Alta;Coerência entre expiraEm e o claim exp do token;expiraEm é o que o cliente usa para decidir quando renovar. Se divergir do exp real do JWT, o front descarta um token ainda válido ou usa um já vencido.;Decodificar a carga do JWT devolvido e comparar o claim exp com o campo expiraEm da resposta.;token de um login bem-sucedido;exp e expiraEm apontando para o mesmo instante, com diferença de no máximo poucos segundos, e ambos aproximadamente 1 hora à frente do login.;;;;"npx mocha --grep ""AUTH-10""";Passou;Execução de 2026-08-14: 1 execução, todas verdes.
