ID;Origem;Endpoint;Método;Arquivo sugerido;VADER;POISED;Severidade;Título;Descrição;Ação;Dados;Resultado esperado;Lacuna de contrato;Pendência;Comando;Veredicto;Motivo da saída
AUTH-14;CRIT-47.2;/auth/login;POST;test/auth.login.test.js;A;I;Média;Endpoints públicos continuam acessíveis sem token — login ignora token inválido;O security vazio nessas duas operações precisa ser respeitado pela implementação. Um middleware aplicado de forma ampla demais quebraria o login e a monitoração.;Fazer login enviando um token inválido no header.;POST /auth/login com Authorization: Bearer invalido;O token é irrelevante: responde conforme a credencial do corpo.;;;"npx mocha --grep ""AUTH-14""";;Severidade Média: fora do recorte de Crítica e Alta da entrega de 15/08.
PEDIDOS-33;CRIT-06.1, CRIT-06.3, CRIT-06.5;/pedidos;POST;test/pedidos.test.js;D;P;Média;Campos de texto exatamente no limite de tamanho;Testar os limites declarados: cliente de 1 a 120, observacao até 280 e nome do item até 120 caracteres.;Criar três pedidos, cada um com um campo no tamanho limite.;cliente com 120 | observacao com 280 | nome do item com 120 caracteres;201 nas três. São os valores exatos de maxLength e precisam ser aceitos.;minLength 1 aceita string de espaços em branco. Não há pattern nem trim documentado.;;"npx mocha --grep ""PEDIDOS-33""";;Severidade Média: fora do recorte de Crítica e Alta da entrega de 15/08.
PEDIDOS-34;CRIT-06.2, CRIT-06.4, CRIT-06.6;/pedidos;POST;test/pedidos.test.js;D;P;Média;Campos de texto um caractere acima do limite;Testar os limites declarados: cliente de 1 a 120, observacao até 280 e nome do item até 120 caracteres.;Criar três pedidos, cada um com um campo um caractere acima do limite.;cliente com 121 | observacao com 281 | nome do item com 121 caracteres;400 com codigo VALIDACAO nas três.;minLength 1 aceita string de espaços em branco. Não há pattern nem trim documentado.;;"npx mocha --grep ""PEDIDOS-34""";;Severidade Média: fora do recorte de Crítica e Alta da entrega de 15/08.
PEDIDOS-35;CRIT-06.7;/pedidos;POST;test/pedidos.test.js;D;P;Média;Limites de tamanho de cliente, observacao e nome do item — cliente como string vazia;Testar os limites declarados: cliente de 1 a 120, observacao até 280 e nome do item até 120 caracteres.;Criar pedido com cliente vazio. Enviar Authorization: Bearer <token> válido.;"cliente: """"";400. minLength 1 recusa a string vazia.;minLength 1 aceita string de espaços em branco. Não há pattern nem trim documentado.;;"npx mocha --grep ""PEDIDOS-35""";;Severidade Média: fora do recorte de Crítica e Alta da entrega de 15/08.
PEDIDOS-36;CRIT-06.8;/pedidos;POST;test/pedidos.test.js;D;P;Média;Limites de tamanho de cliente, observacao e nome do item — cliente apenas com espaços;Testar os limites declarados: cliente de 1 a 120, observacao até 280 e nome do item até 120 caracteres.;Criar pedido com o nome do cliente contendo só espaços. Enviar Authorization: Bearer <token> válido.;"cliente: ""   """;Definir a regra. minLength 1 aceita espaços, então um pedido pode nascer sem dono identificável.;Não há pattern nem trim documentado para cliente.;;"npx mocha --grep ""PEDIDOS-36""";;Severidade Média: fora do recorte de Crítica e Alta da entrega de 15/08.
PEDIDOS-37;CRIT-08.1, CRIT-08.3, CRIT-08.4;/pedidos;POST;test/pedidos.test.js;D;P;Média;Tipos incorretos nos campos do pedido;Verificar a coerção de tipos, com atenção especial ao decimal com vírgula, comum em formulário brasileiro.;Enviar três criações alterando o tipo de um campo por vez.;"quantidade: ""2"" | cliente: 12345 | itens como objeto";400 nas três. Aceitar com coerção esconderia erro do cliente.;;;"npx mocha --grep ""PEDIDOS-37""";;Severidade Média: fora do recorte de Crítica e Alta da entrega de 15/08.
PEDIDOS-38;CRIT-08.2;/pedidos;POST;test/pedidos.test.js;D;P;Média;Tipos incorretos nos campos do pedido — preço com vírgula decimal;Verificar a coerção de tipos, com atenção especial ao decimal com vírgula, comum em formulário brasileiro.;Criar pedido com o preço no formato brasileiro. Enviar Authorization: Bearer <token> válido.;"precoUnitario: ""28,90""";400. Aceitar seria interpretação silenciosa de um dado ambíguo, comum em formulário brasileiro.;;;"npx mocha --grep ""PEDIDOS-38""";;Severidade Média: fora do recorte de Crítica e Alta da entrega de 15/08.
PEDIDOS-39;CRIT-13.1, CRIT-13.2;/pedidos;POST;test/pedidos.test.js;;I;Média;Media type não suportado no corpo;O requestBody declara apenas application/json. Verificar a conformidade com o único media type do contrato.;Criar pedido enviando outros media types no Content-Type.;Content-Type: application/xml | text/plain;415 nas duas. O requestBody declara apenas application/json. Nunca 500.;Lacunas remanescentes na 2.1.0: 415 (Content-Type não suportado), 413 (corpo acima do limite), 429 (limitação de taxa) e 406 (negociação de conteúdo) continuam sem declaração em nenhuma operação.;;"npx mocha --grep ""PEDIDOS-39""";;Severidade Média: fora do recorte de Crítica e Alta da entrega de 15/08.
PEDIDOS-40;CRIT-13.3;/pedidos;POST;test/pedidos.test.js;;I;Média;Content-Type não suportado, ausente e Accept divergente — Content-Type ausente;O requestBody declara apenas application/json. Verificar a conformidade com o único media type do contrato.;Criar pedido sem declarar o Content-Type. Enviar Authorization: Bearer <token> válido.;requisição sem header Content-Type;Definir e padronizar: 415 ou interpretação como JSON. Registrar o comportamento real.;Lacunas remanescentes na 2.1.0: 415 (Content-Type não suportado), 413 (corpo acima do limite), 429 (limitação de taxa) e 406 (negociação de conteúdo) continuam sem declaração em nenhuma operação.;;"npx mocha --grep ""PEDIDOS-40""";;Severidade Média: fora do recorte de Crítica e Alta da entrega de 15/08.
PEDIDOS-41;CRIT-13.4;/pedidos;POST;test/pedidos.test.js;;I;Média;Content-Type não suportado, ausente e Accept divergente — Accept incompatível;O requestBody declara apenas application/json. Verificar a conformidade com o único media type do contrato.;Criar pedido pedindo resposta em XML. Enviar Authorization: Bearer <token> válido.;Accept: application/xml;406, ou 200 em JSON. Nunca corpo em formato não suportado.;Lacunas remanescentes na 2.1.0: 415 (Content-Type não suportado), 413 (corpo acima do limite), 429 (limitação de taxa) e 406 (negociação de conteúdo) continuam sem declaração em nenhuma operação.;;"npx mocha --grep ""PEDIDOS-41""";;Severidade Média: fora do recorte de Crítica e Alta da entrega de 15/08.
CARGA-01;PERF-02;/pedidos;POST;k6/carga.js;;D;Crítica;Pico de criação de pedidos no horário do almoço;Cenário de negócio mais crítico da cozinha. A criação concentra validação, cálculo de valorTotal e escrita.;Executar k6 com rampa de subida, patamar e descida sobre POST /pedidos, com payloads variados vindos de fixture.;ramp 0 a 40 VUs em 1 min, 40 VUs por 3 min, descida em 1 min;Thresholds sugeridos: 201 em pelo menos 99 por cento das requisições e p95 abaixo de 800 ms. Nenhum 500 e nenhum id de pedido duplicado.;Não há rate limiting nem 429 previstos no contrato.;;"npx mocha --grep ""CARGA-01""";;Suíte de performance em k6, fora do escopo da entrega de 15/08.
CARGA-02;PERF-07.1;/pedidos;GET;k6/carga.js;;D;Média;Custo da autenticação sob carga — custo da verificação de token;A partir da 2.0.0 toda requisição passa por verificação de assinatura do token, e o login em si é uma operação de banco mais emissão de JWT. Vale medir o custo acrescentado.;Executar k6 em GET /pedidos com token e comparar com a linha de base. O token é obtido dentro do próprio script k6.;20 VUs em GET /pedidos com token válido, 3 minutos;Acréscimo de latência pequeno e estável em relação à linha de base sem autenticação.;Sem limite de taxa declarado, o login também é vetor de esgotamento de recurso.;;"npx mocha --grep ""CARGA-02""";;Suíte de performance em k6, fora do escopo da entrega de 15/08.
CARGA-03;PERF-03;/pedidos/resumo;GET;k6/carga.js;;D;Alta;Agregação do resumo sob concorrência de escrita;O resumo é uma agregação lida com frequência enquanto pedidos são criados e avançados. Verificar custo e coerência sob concorrência.;Executar k6 com dois grupos de VUs, um consultando o resumo e outro criando e avançando pedidos.;20 VUs em GET /pedidos/resumo e 10 VUs escrevendo, por 5 minutos;p95 do resumo abaixo de 300 ms e soma das contagens sempre coerente com o total de pedidos criados. Nenhum 500.;O contrato não define se o resumo é calculado em tempo real ou materializado.;;"npx mocha --grep ""CARGA-03""";;Suíte de performance em k6, fora do escopo da entrega de 15/08.
PEDIDO-ID-22;CRIT-31.1, CRIT-31.2, CRIT-31.3, CRIT-31.4;/pedidos/{id};DELETE;test/pedidos.id.test.js;E;P;Média;Cancelamento com id inexistente ou inválido;Espelhar o cenário de borda do GET no verbo destrutivo, garantindo o mesmo formato de erro.;Executar DELETE com cada variação do parâmetro de path.;id 999999 | abc | 0 | -1;404 PEDIDO_NAO_ENCONTRADO para inexistente e 400 para tipo inválido, com o mesmo corpo ErroResponse do GET.;400 não documentado no DELETE.;;"npx mocha --grep ""PEDIDO-ID-22""";;Severidade Média: fora do recorte de Crítica e Alta da entrega de 15/08.
PEDIDO-ID-20;CRIT-56.1, CRIT-56.2;/pedidos/{id};PATCH;test/pedidos.id.test.js;D;O;Média;Semântica de observacao vazia ou nula no PATCH;observacao é nullable nos dois schemas. Em alteração parcial, enviar null é ambíguo: pode significar limpar o campo ou pode ser tratado como campo não enviado.;Editar um pedido com observação preenchida enviando null e depois string vazia.;"{ ""observacao"": null } | { ""observacao"": """" }";Definir e documentar a semântica, de forma coerente entre os dois. O risco é a atendente tentar apagar a observação e ela permanecer, mandando cebola para quem não pode comer.;O contrato não distingue campo ausente de campo enviado como null, que é a ambiguidade clássica de PATCH.;;"npx mocha --grep ""PEDIDO-ID-20""";;Severidade Média: fora do recorte de Crítica e Alta da entrega de 15/08.
PEDIDO-ID-21;CRIT-57.1, CRIT-57.2, CRIT-57.3, CRIT-57.4;/pedidos/{id};PATCH;test/pedidos.id.test.js;E;P;Média;Edição com id inexistente ou inválido;Espelha no endpoint novo as bordas já verificadas no GET e no DELETE, garantindo o mesmo formato de erro em toda a API.;Executar PATCH com cada variação do parâmetro de path.;id 999999 | abc | 0 | -1, sempre com corpo válido;404 PEDIDO_NAO_ENCONTRADO para inexistente e 400 para tipo inválido, consistente com o GET e o DELETE. Jamais 500.;400 continua não documentado para id de path inválido, agora também no PATCH.;;"npx mocha --grep ""PEDIDO-ID-21""";;Severidade Média: fora do recorte de Crítica e Alta da entrega de 15/08.
STATUS-14;CRIT-27.1;/pedidos/{id}/status;PATCH;test/pedidos.status.test.js;E;E;Média;Transição em pedido inexistente e precedência entre 400 e 404 — pedido inexistente com ação válida;Quando o id não existe e o corpo também é inválido, o contrato não define qual erro prevalece. Consistência importa para quem consome a mensagem.;Enviar transição válida em um pedido que não existe. Enviar Authorization: Bearer <token> válido.;id 999999, acao AVANCAR;404 com codigo PEDIDO_NAO_ENCONTRADO.;Precedência entre validação de corpo e existência do recurso não definida.;;"npx mocha --grep ""STATUS-14""";;Severidade Média: fora do recorte de Crítica e Alta da entrega de 15/08.
STATUS-15;CRIT-27.2;/pedidos/{id}/status;PATCH;test/pedidos.status.test.js;E;E;Média;Transição em pedido inexistente e precedência entre 400 e 404 — pedido inexistente com ação inválida;Quando o id não existe e o corpo também é inválido, o contrato não define qual erro prevalece. Consistência importa para quem consome a mensagem.;Enviar transição inválida em um pedido que não existe. Enviar Authorization: Bearer <token> válido.;id 999999, acao CANCELAR;Definir e padronizar a precedência entre 400 e 404 em toda a API, e aplicar o mesmo critério nos demais endpoints.;Precedência entre validação de corpo e existência do recurso não definida.;;"npx mocha --grep ""STATUS-15""";;Severidade Média: fora do recorte de Crítica e Alta da entrega de 15/08.
AUTH-15;CRIT-61.1;/auth/login;OTHER;test/auth.login.test.js;R;I;Média;Header Allow correto na rota de login;A 2.1.0 documenta o header Allow na resposta 405. Ele precisa listar exatamente os métodos que a rota aceita, nem a mais nem a menos.;Provocar um 405 na rota e inspecionar o header Allow da resposta.;PUT /auth/login;"Allow com POST e OPTIONS. Qualquer método a mais revela rota oculta; a menos, documentação enganosa para quem consome.";;;"npx mocha --grep ""AUTH-15""";;Severidade Média: fora do recorte de Crítica e Alta da entrega de 15/08.
PEDIDOS-42;CRIT-61.2;/pedidos;OTHER;test/pedidos.test.js;R;I;Média;Header Allow correto na coleção de pedidos;O Allow é a única forma de o consumidor descobrir os métodos aceitos sem ler o contrato.;Provocar um 405 na coleção e inspecionar o header Allow.;PUT /pedidos;Allow com GET, HEAD, POST e OPTIONS.;;;"npx mocha --grep ""PEDIDOS-42""";;Severidade Média: fora do recorte de Crítica e Alta da entrega de 15/08.
RESUMO-07;CRIT-61.3;/pedidos/resumo;OTHER;test/pedidos.resumo.test.js;R;I;Média;Header Allow correto no resumo;Rota somente de leitura. O Allow não pode listar nenhum verbo de escrita.;Provocar um 405 no resumo e inspecionar o header Allow.;POST /pedidos/resumo;Allow com GET, HEAD e OPTIONS. A presença de POST, PATCH ou DELETE é defeito.;;;"npx mocha --grep ""RESUMO-07""";;Severidade Média: fora do recorte de Crítica e Alta da entrega de 15/08.
PEDIDO-ID-24;CRIT-61.4;/pedidos/{id};OTHER;test/pedidos.id.test.js;R;I;Média;Header Allow correto no recurso de pedido;Esta rota aceita quatro métodos e é a de maior chance de divergência entre o Allow e o que está implementado.;Provocar um 405 no recurso e inspecionar o header Allow.;PUT /pedidos/1;Allow com GET, HEAD, PATCH, DELETE e OPTIONS. A ausência do PATCH indicaria que a edição parcial não foi registrada na lista de métodos da rota.;;;"npx mocha --grep ""PEDIDO-ID-24""";;Severidade Média: fora do recorte de Crítica e Alta da entrega de 15/08.
HEALTH-08;CRIT-61.6;/health;OTHER;test/health.test.js;R;I;Baixa;Header Allow correto no health check;Rota pública e somente de leitura.;Provocar um 405 no health e inspecionar o header Allow, sem enviar token.;POST /health, sem token;Allow com GET, HEAD e OPTIONS.;;;"npx mocha --grep ""HEALTH-08""";;Severidade Baixa: fora do recorte de Crítica e Alta da entrega de 15/08.
